image_path,gender_female,gender_male,imagequality_Average,imagequality_Bad,imagequality_Good,age_15-25,age_25-35,age_35-45,age_45-55,age_55+,weight_normal-healthy,weight_over-weight,weight_slightly-overweight,weight_underweight,carryingbag_Daily/Office/Work Bag,carryingbag_Grocery/Home/Plastic Bag,carryingbag_None,footwear_CantSee,footwear_Fancy,footwear_Normal,emotion_Angry/Serious,emotion_Happy,emotion_Neutral,emotion_Sad,bodypose_Back,bodypose_Front-Frontish,bodypose_Side
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/1.jpg,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/2.jpg,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/3.jpg,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/4.jpg,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/5.jpg,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/6.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/7.jpg,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/8.jpg,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/9.jpg,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/10.jpg,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/11.jpg,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/12.jpg,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/13.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/14.jpg,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/15.jpg,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/16.jpg,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/17.jpg,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/18.jpg,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/19.jpg,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/20.jpg,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/21.jpg,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/22.jpg,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
/content/gdrive/My Drive/Colab_projects/PersonAttribures/data/raw/resized/23.jpg,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
